,plant_name,CEMS,meanMonthlyEmission,hoursWithData,hoursWithNoData,standard,emission_exceedance,revised_exceedance,charge_for_data,charge_for_nodata
199,Maithan Ispat Limited,CEMS-2,27.12364633,566,154,100,-72.87635367,0,0,1246014
200,Mayur Electro Ceramics Pvt. Ltd.,CEMS-1,10.71223289,104,616,100,-89.28776711,0,0,4984056
201,Mayur Electro Ceramics Pvt. Ltd.,CEMS-2,243.8465033,44,676,100,143.8465033,143.8465033,56963.21529,5469516
202,Meta Sponge Pvt. Ltd.,CEMS-1,30.75197357,564,156,100,-69.24802643,0,0,1262196
203,Mideast Integrated Steels Ltd.,CEMS-1,138.5940205,527,193,100,38.59402046,38.59402046,183051.439,1561563
204,Mideast Integrated Steels Ltd.,CEMS-2,0,527,193,100,-100,0,0,1561563
205,Mideast Integrated Steels Ltd.,CEMS-3,0.089685127,526,194,100,-99.91031487,0,0,1569654
206,N. K. Bhojani Pvt. Ltd.,CEMS-1,97.45638469,363,357,100,-2.543615312,0,0,2888487
207,"NALCO Ltd.,Captive Power Plant",CEMS-1,57.08022267,551,169,100,-42.91977733,0,0,1367379
208,"NALCO Ltd.,Captive Power Plant",CEMS-10,34.89882726,590,130,50,-15.10117274,0,0,1110330
209,"NALCO Ltd.,Captive Power Plant",CEMS-2,43.16029116,440,280,100,-56.83970884,0,0,2265480
210,"NALCO Ltd.,Captive Power Plant",CEMS-3,40.26209307,549,171,100,-59.73790693,0,0,1383561
211,"NALCO Ltd.,Captive Power Plant",CEMS-4,62.59272353,561,159,100,-37.40727647,0,0,1286469
212,"NALCO Ltd.,Captive Power Plant",CEMS-5,50.05536232,108,612,100,-49.94463768,0,0,4951692
213,"NALCO Ltd.,Captive Power Plant",CEMS-6,64.87224443,154,566,100,-35.12775557,0,0,4579506
214,"NALCO Ltd.,Captive Power Plant",CEMS-8,41.70434715,309,411,50,-8.295652851,0,0,3510351
215,"NALCO Ltd.,Captive Power Plant",CEMS-9,41.83127024,592,128,50,-8.168729756,0,0,1093248
216,"NALCO Ltd.,Refinery",CEMS-1,28.12850601,660,60,100,-71.87149399,0,0,485460
217,"NALCO Ltd.,Refinery",CEMS-2,38.32129838,665,55,100,-61.67870162,0,0,445005
218,"NALCO Ltd.,Refinery",CEMS-4,491.5733257,625,95,100,391.5733257,391.5733257,2202599.957,768645
219,"NALCO Ltd.,Refinery",CEMS-5,58.17317864,635,85,100,-41.82682136,0,0,687735
220,"NALCO Ltd.,Refinery",CEMS-6,80.05309085,538,182,100,-19.94690915,0,0,1472562
221,"NALCO Ltd.,Refinery",CEMS-7,29.24204755,674,46,100,-70.75795245,0,0,372186
222,"NALCO Ltd.,Refinery",CEMS-9,44.29102251,638,82,100,-55.70897749,0,0,663462
223,"NALCO Ltd.,Smelter Plant",CEMS-10,0.044093162,537,183,100,-99.95590684,0,0,1480653
224,"NALCO Ltd.,Smelter Plant",CEMS-11,20.9140995,552,168,100,-79.0859005,0,0,1359288
225,"NALCO Ltd.,Smelter Plant",CEMS-2,6.449847328,150,570,100,-93.55015267,0,0,4611870
226,"NALCO Ltd.,Smelter Plant",CEMS-4,5.133064576,591,129,100,-94.86693542,0,0,1043739
227,"NALCO Ltd.,Smelter Plant",CEMS-5,11.2443955,379,341,100,-88.7556045,0,0,2759031
228,"NALCO Ltd.,Smelter Plant",CEMS-6,26.83832024,413,307,100,-73.16167976,0,0,2483937
229,"NALCO Ltd.,Smelter Plant",CEMS-7,37.15493857,555,165,100,-62.84506143,0,0,1335015
230,"NALCO Ltd.,Smelter Plant",CEMS-8,20.63170254,512,208,100,-79.36829746,0,0,1682928
231,"NALCO Ltd.,Smelter Plant",CEMS-9,14.65762746,535,185,100,-85.34237254,0,0,1496835
232,NTPC Limited (TSTPS),CEMS-3,64.9950029,590,130,100,-35.0049971,0,0,1051830
233,NTPC Limited (TSTPS),CEMS-5,37.80548298,589,131,100,-62.19451702,0,0,1059921
234,NTPC Limited (TSTPS),CEMS-6,46.52898223,590,130,100,-53.47101777,0,0,1051830
235,NTPC Limited (TTPS),CEMS-4,61.45367278,578,142,100,-38.54632722,0,0,1148922
236,NTPC Limited (TTPS),CEMS-6,54.11054256,591,129,100,-45.88945744,0,0,1043739
237,NTPC Limited (TTPS),UNIT-1,52.57300486,595,125,100,-47.42699514,0,0,1011375
238,Narbheram Power and Steel Pvt. Ltd.,CEMS-1,44.86077796,608,112,100,-55.13922204,0,0,906192
239,Nava Bharat Ventures Ltd,CEMS-1,33.3131694,155,565,50,-16.6868306,0,0,4825665
240,Nava Bharat Ventures Ltd,CEMS-2,15.04789783,598,122,50,-34.95210217,0,0,1042002
241,Neelachal Ispat Nigam Limited,CEMS-3,3.912466667,227,493,100,-96.08753333,0,0,3988863
242,Neelachal Ispat Nigam Limited,CEMS-4,26.18910526,103,617,100,-73.81089474,0,0,4992147
243,"OCL India Ltd,Cement Unit",CEMS--9,12.14267623,521,199,30,-17.85732377,0,0,1735479
244,"OCL India Ltd,Cement Unit",CEMS-1,15.59805919,522,198,30,-14.40194081,0,0,1726758
245,"OCL India Ltd,Cement Unit",CEMS-10,16.28648091,519,201,30,-13.71351909,0,0,1752921
246,"OCL India Ltd,Cement Unit",CEMS-2,9.780643794,521,199,30,-20.21935621,0,0,1735479
247,"OCL India Ltd,Cement Unit",CEMS-3,9.681131557,521,199,30,-20.31886844,0,0,1735479
248,"OCL India Ltd,Cement Unit",CEMS-4,4.477238003,521,199,50,-45.522762,0,0,1699659
249,"OCL India Ltd,Cement Unit",CEMS-5,14.41321518,520,200,30,-15.58678482,0,0,1744200
250,"OCL India Ltd,Cement Unit",CEMS-6,14.7415493,521,199,30,-15.2584507,0,0,1735479
251,"OCL India Ltd,Cement Unit",CEMS-7,15.31966873,520,200,30,-14.68033127,0,0,1744200
252,"OCL India Ltd,Cement Unit",CEMS-8,5.020737681,520,200,30,-24.97926232,0,0,1744200
253,Odisha Power Generation Corporation LTD,CEMS-1,84.53890875,575,145,100,-15.46109125,0,0,1173195
254,Odisha Power Generation Corporation LTD,CEMS-2,86.40867183,646,74,100,-13.59132817,0,0,598734
255,Patnaik Minerals Pvt. Ltd.,CEMS-1,0,526,194,100,-100,0,0,1569654
256,Patnaik Minerals Pvt. Ltd.,CEMS-2,0,180,540,100,-100,0,0,4369140
257,Patnaik Steels and Alloys Ltd.,CEMS-1,58.89071307,567,153,100,-41.10928693,0,0,1237923
258,Penguine Trading and Agencies Ltd(Seven Star),CEMS-1,87.02675281,281,439,100,-12.97324719,0,0,3551949
259,Penguine Trading and Agencies Ltd(Seven Star),CEMS-2,127.7567908,281,439,100,27.7567908,27.7567908,70196.92393,3551949
260,Pooja Sponge Pvt. Ltd.,CEMS-1,24.2772925,526,194,100,-75.7227075,0,0,1569654
261,Pooja Sponge Pvt. Ltd.,CEMS-2,211,2,718,100,111,111,1998,5809338
262,R. B. Sponge Pvt. Ltd.,CEMS-1,38.22979749,491,229,100,-61.77020251,0,0,1852839
263,Reliable Sponge Pvt. Ltd. (Bonai Unit),CEMS-1,8.645614292,671,49,100,-91.35438571,0,0,396459
264,Reliable Sponge Pvt. Ltd.(KALUNGA),CEMS-1,20.92736359,527,193,100,-79.07263641,0,0,1561563
265,Rexon Strips Ltd.,CEMS-1,21.97722752,662,58,100,-78.02277248,0,0,469278
266,Rourkela Steel Plant,CEMS-1,34.63332224,595,125,100,-65.36667776,0,0,1011375
267,Rourkela Steel Plant,CEMS-10,28.7389427,652,68,100,-71.2610573,0,0,550188
268,Rourkela Steel Plant,CEMS-11,40.91778989,198,522,150,-109.0822101,0,0,3988602
269,Rourkela Steel Plant,CEMS-12,12.58519898,617,103,150,-137.414801,0,0,787023
270,Rourkela Steel Plant,CEMS-13,48.60788167,675,45,150,-101.3921183,0,0,343845
271,Rourkela Steel Plant,CEMS-14,48.4523402,145,575,150,-101.5476598,0,0,4393575
272,Rourkela Steel Plant,CEMS-15,54.28065178,675,45,150,-95.71934822,0,0,343845
273,Rourkela Steel Plant,CEMS-16,68.95657242,659,61,150,-81.04342758,0,0,466101
274,Rourkela Steel Plant,CEMS-17,26.71107305,675,45,150,-123.2889269,0,0,343845
275,Rourkela Steel Plant,CEMS-18,41.95174195,676,44,50,-8.048258049,0,0,375804
276,Rourkela Steel Plant,CEMS-19,48.99741647,675,45,150,-101.0025835,0,0,343845
277,Rourkela Steel Plant,CEMS-2,41.65904011,675,45,100,-58.34095989,0,0,364095
278,Rourkela Steel Plant,CEMS-20,10.97835576,544,176,150,-139.0216442,0,0,1344816
279,Rourkela Steel Plant,CEMS-3,12.68931179,675,45,100,-87.31068821,0,0,364095
280,Rourkela Steel Plant,CEMS-4,46.21572627,675,45,100,-53.78427373,0,0,364095
281,Rourkela Steel Plant,CEMS-5,26.13754887,674,46,100,-73.86245113,0,0,372186
282,Rourkela Steel Plant,CEMS-6,26.29203547,495,225,50,-23.70796453,0,0,1921725
283,Rourkela Steel Plant,CEMS-7,31.15704535,673,47,50,-18.84295465,0,0,401427
284,Rourkela Steel Plant,CEMS-8,24.91366406,674,46,50,-25.08633594,0,0,392886
285,Rourkela Steel Plant,CEMS-9,14.94312421,263,457,50,-35.05687579,0,0,3903237
286,Rungta Mines Limited,CEMS-1,57.06907032,527,193,100,-42.93092968,0,0,1561563
287,Rungta Mines Limited,CEMS-2,50.26064662,550,170,100,-49.73935338,0,0,1375470
288,Rungta Mines Limited,CEMS-3,32.63200824,533,187,100,-67.36799176,0,0,1513017
289,Rungta Mines Limited,CEMS-4,40.14167997,634,86,100,-59.85832003,0,0,695826
290,Rungta Mines Limited,CEMS-5,33.61030399,469,251,100,-66.38969601,0,0,2030841
291,SMC Power Generation Limited,CEMS-2,89.63529255,526,194,100,-10.36470745,0,0,1569654
292,Sakthi Sugars Limited,CEMS-1,67.96362944,103,617,150,-82.03637056,0,0,4714497
293,Sakthi Sugars Limited (Distillery),CEMS-1,0.268501326,420,300,150,-149.7314987,0,0,2292300
294,Samaleswari Ferro Metals Ltd,CEMS-1,416.1660184,220,500,100,316.1660184,316.1660184,626008.7164,4045500
295,Scan Steels Limited (Unit-2),CEMS-1,25.47087531,498,222,100,-74.52912469,0,0,1796202
296,Scan Steels Limited (Unit-2),CEMS-2,54.71776563,482,238,100,-45.28223437,0,0,1925658
297,Scan Steels Limited (Unit-2),CEMS-3,88.29085606,477,243,100,-11.70914394,0,0,1966113
298,Scan Steels Limited (Unit-I),CEMS-1,35.46173107,577,143,100,-64.53826893,0,0,1157013
299,Seeta Integrated Steel and Energy Ltd.,CEMS-1,3.747124267,525,195,100,-96.25287573,0,0,1577745
300,Seeta Integrated Steel and Energy Ltd.,CEMS-2,1.0018758,572,148,100,-98.9981242,0,0,1197468
301,Sesa Sterlite Ltd (IPP),CEMS-2,7.755992818,382,338,100,-92.24400718,0,0,2734758
302,Sesa Sterlite Ltd (IPP),CEMS-3,42.68515886,402,318,100,-57.31484114,0,0,2572938
303,Sesa Sterlite Ltd (IPP),CEMS-4,35.57781675,512,208,100,-64.42218325,0,0,1682928
304,Sesa Sterlite Ltd (Smelter and CPP),CEMS-10,4.165730961,430,290,100,-95.83426904,0,0,2346390
305,Sesa Sterlite Ltd (Smelter and CPP),CEMS-11,2.678201945,662,58,100,-97.32179806,0,0,469278
306,Sesa Sterlite Ltd (Smelter and CPP),CEMS-12,2.975188858,380,340,100,-97.02481114,0,0,2750940
307,Sesa Sterlite Ltd (Smelter and CPP),CEMS-13,2.007906426,664,56,100,-97.99209357,0,0,453096
308,Sesa Sterlite Ltd (Smelter and CPP),CEMS-14,0.591340568,585,135,100,-99.40865943,0,0,1092285
309,Sesa Sterlite Ltd (Smelter and CPP),CEMS-15,6.338741408,580,140,100,-93.66125859,0,0,1132740
310,Sesa Sterlite Ltd (Smelter and CPP),CEMS-16,10.234,5,715,100,-89.766,0,0,5785065
311,Sesa Sterlite Ltd (Smelter and CPP),CEMS-17,8.335708661,59,661,100,-91.66429134,0,0,5348151
312,Sesa Sterlite Ltd (Smelter and CPP),CEMS-18,7.15,2,718,100,-92.85,0,0,5809338
313,Sesa Sterlite Ltd (Smelter and CPP),CEMS-2,5.960239902,415,305,100,-94.0397601,0,0,2467755
314,Sesa Sterlite Ltd (Smelter and CPP),CEMS-20,5.778097826,37,683,100,-94.22190217,0,0,5526153
315,Sesa Sterlite Ltd (Smelter and CPP),CEMS-21,9.794730964,186,534,100,-90.20526904,0,0,4320594
316,Sesa Sterlite Ltd (Smelter and CPP),CEMS-22,11.89183069,188,532,100,-88.10816931,0,0,4304412
317,Sesa Sterlite Ltd (Smelter and CPP),CEMS-29,13.66878788,35,685,100,-86.33121212,0,0,5542335
318,Sesa Sterlite Ltd (Smelter and CPP),CEMS-3,21.83157955,464,256,100,-78.16842045,0,0,2071296
319,Sesa Sterlite Ltd (Smelter and CPP),CEMS-4,32.96362443,533,187,100,-67.03637557,0,0,1513017
320,Sesa Sterlite Ltd (Smelter and CPP),CEMS-5,35.53669703,567,153,100,-64.46330297,0,0,1237923
321,Sesa Sterlite Ltd (Smelter and CPP),CEMS-6,40.28507888,537,183,100,-59.71492112,0,0,1480653
322,Sesa Sterlite Ltd (Smelter and CPP),CEMS-7,42.43005808,543,177,100,-57.56994192,0,0,1432107
323,Sesa Sterlite Ltd (Smelter and CPP),CEMS-8,20.46466402,536,184,100,-79.53533598,0,0,1488744
324,Sesa Sterlite Ltd (Smelter and CPP),CEMS-9,29.92237772,540,180,100,-70.07762228,0,0,1456380
325,Sesa Sterlite Ltd (Smelter and CPP),CPP,19.05482014,31,689,100,-80.94517986,0,0,5574699
326,Shiv Mettalicks (P) Ltd,CEMS-2,53.23767982,598,122,100,-46.76232018,0,0,987102
327,Shiva Cement Ltd.,CEMS-1,15.22903545,178,542,30,-14.77096455,0,0,4726782
328,Shiva Cement Ltd.,stack-2,20.10068856,526,194,100,-79.89931144,0,0,1569654
329,Shiva Cement Ltd.,stack-3,18.23260043,192,528,100,-81.76739957,0,0,4272048
330,Shiva Cement Ltd.,stack-4,0,2,718,100,-100,0,0,5809338
331,Shree Ganesh Metalics(Kuarmunda),CEMS-3,47.16294132,671,49,100,-52.83705868,0,0,396459
332,Shree Hari Sponge Pvt. Ltd.,CEMS-1,66.80983531,448,272,100,-33.19016469,0,0,2200752
333,Shri Hardev Steels Pvt. Ltd,CEMS-1,30.49113585,524,196,100,-69.50886415,0,0,1585836
334,Shri Jagannath Steels and Power Ltd.,CEMS-2,0.081826223,562,158,100,-99.91817378,0,0,1278378
335,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-1,26.37979037,672,48,100,-73.62020963,0,0,388368
336,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-2,1,309,411,100,-99,0,0,3325401
337,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-3,36.05316949,525,195,100,-63.94683051,0,0,1577745
338,Shri Mahavir Ferro Alloys Pvt. Ltd.,CEMS-4,30.23958988,331,389,100,-69.76041012,0,0,3147399
339,Shyam Metalics and Energy Ltd,CEMS-2,24.84359604,428,292,100,-75.15640396,0,0,2362572
340,Shyam Metalics and Energy Ltd,CEMS-3,6.743749238,664,56,100,-93.25625076,0,0,453096
341,Shyam Metalics and Energy Ltd,CEMS-4,6.291281106,668,52,100,-93.70871889,0,0,420732
342,Shyam Metalics and Energy Ltd,CEMS-6,12.44616409,622,98,100,-87.55383591,0,0,792918
343,Shyam Metalics and Energy Ltd,CEMS-7,8.964448746,621,99,100,-91.03555125,0,0,801009
344,Shyam Metalics and Energy Ltd,CEMS-8,5.1875941,622,98,100,-94.8124059,0,0,792918
345,Shyam Metalics and Energy Ltd,CEMS-9,55.65609527,576,144,100,-44.34390473,0,0,1165104
346,Sponge Udyog Pvt. Ltd.,CEMS-1,19.84303938,669,51,100,-80.15696062,0,0,412641
347,Sree Metaliks Ltd,CEMS-1,55.40024977,564,156,100,-44.59975023,0,0,1262196
348,Sree Metaliks Ltd,CEMS-2,29.50758526,505,215,100,-70.49241474,0,0,1739565
349,Sree Metaliks Ltd,CEMS-4,330.7888889,5,715,100,230.7888889,230.7888889,10385.5,5785065
350,Sree Metaliks Ltd,CEMS-5,810981.2376,32,688,100,810881.2376,810881.2376,233533796.4,5566608
351,Sri Balaji Metallics Pvt. Ltd.,CEMS-1,44.50812891,395,325,100,-55.49187109,0,0,2629575
352,Sumrit Metaliks Pvt. Ltd.,CEMS-1,81.69170876,474,246,100,-18.30829124,0,0,1990386
353,Suraj Products Pvt. Ltd.,CEMS - 2,45.8621818,388,332,100,-54.1378182,0,0,2686212
354,Suraj Products Pvt. Ltd.,CEMS-1,23.52392228,642,78,100,-76.47607772,0,0,631098
355,Surendra Mining Industries (P) Ltd.,CEMS-1,223.6118033,122,598,100,123.6118033,123.6118033,135725.76,4838418
356,Surendra Mining Industries (P) Ltd.,CEMS-2,49.08189717,593,127,100,-50.91810283,0,0,1027557
357,Swastik Ispat Pvt. Ltd.,CEMS-1,22.37083264,442,278,100,-77.62916736,0,0,2249298
358,Swastik Ispat Pvt. Ltd.,CEMS-2,1,471,249,100,-99,0,0,2014659
359,TATA STEEL KALINGANAGAR,CEMS-,15.08788076,566,154,100,-84.91211924,0,0,1246014
360,TATA STEEL KALINGANAGAR,CEMS-1,31.15981505,553,167,50,-18.84018495,0,0,1426347
361,TATA STEEL KALINGANAGAR,CEMS-10,30.31553996,551,169,50,-19.68446004,0,0,1443429
362,TATA STEEL KALINGANAGAR,CEMS-11,11.45556757,60,660,100,-88.54443243,0,0,5340060
363,TATA STEEL KALINGANAGAR,CEMS-13,2.970296065,567,153,50,-47.02970394,0,0,1306773
364,TATA STEEL KALINGANAGAR,CEMS-14,1.28038674,566,154,50,-48.71961326,0,0,1315314
365,TATA STEEL KALINGANAGAR,CEMS-15,6.130471607,416,304,50,-43.86952839,0,0,2596464
366,TATA STEEL KALINGANAGAR,CEMS-16,7.346963415,557,163,50,-42.65303659,0,0,1392183
367,TATA STEEL KALINGANAGAR,CEMS-2,2.148345218,404,316,50,-47.85165478,0,0,2698956
368,TATA STEEL KALINGANAGAR,CEMS-3,41.76717754,565,155,50,-8.232822458,0,0,1323855
369,TATA STEEL KALINGANAGAR,CEMS-4,11.45556757,60,660,150,-138.5444324,0,0,5043060
370,TATA STEEL KALINGANAGAR,CEMS-5,15.51745979,447,273,50,-34.48254021,0,0,2331693
371,TATA STEEL KALINGANAGAR,CEMS-6,7.381190531,560,160,50,-42.61880947,0,0,1366560
372,TATA STEEL KALINGANAGAR,CEMS-7,11.19968365,564,156,50,-38.80031635,0,0,1332396
373,TATA STEEL KALINGANAGAR,CEMS-8,13.22163078,566,154,50,-36.77836922,0,0,1315314
374,TATA STEEL KALINGANAGAR,CEMS-9,16.89703267,567,153,50,-33.10296733,0,0,1306773
375,TRChemicals Ltd.,CEMS-1,17.8442976,671,49,100,-82.1557024,0,0,396459
376,Tata Sponge Iron Ltd,CEMS-1,38.26735053,488,232,100,-61.73264947,0,0,1877112
377,Tata Sponge Iron Ltd,CEMS-2,42.02596568,557,163,100,-57.97403432,0,0,1318833
378,Tata Sponge Iron Ltd,CEMS-3,45.25368935,546,174,100,-54.74631065,0,0,1407834
379,Thakur Prasad Sao and Sons Pvt. Ltd.,CEMS-1,1,576,144,100,-99,0,0,1165104
380,Thakur Prasad Sao and Sons Pvt. Ltd.,CEMS-2,21.25453786,455,265,100,-78.74546214,0,0,2144115
381,Times Steel and Power Pvt. Ltd.,CEMS-1,45.41622929,300,420,100,-54.58377071,0,0,3398220
382,Toshali Cement Private Limited,CEMS-1,6.052503112,348,372,30,-23.94749689,0,0,3244212
383,UltraTech Cement Ltd.,CEMS-1,6.937577085,514,206,30,-23.06242291,0,0,1796526
384,UltraTech Cement Ltd.,CEMS-2,11.10261493,514,206,30,-18.89738507,0,0,1796526
385,Utkal Alumina International Ltd,CEMS-1,0.191659198,667,53,100,-99.8083408,0,0,428823
386,Utkal Alumina International Ltd,CEMS-2,44.58154553,659,61,100,-55.41845447,0,0,493551
387,Utkal Alumina International Ltd,CEMS-3,40.43051142,669,51,100,-59.56948858,0,0,412641
388,Utkal Alumina International Ltd,CEMS-4,24.63033481,658,62,100,-75.36966519,0,0,501642
389,Utkal Alumina International Ltd,CEMS-5,11.75499498,662,58,100,-88.24500502,0,0,469278
390,Utkal Metallics Limited,CEMS-1,27.75778263,526,194,100,-72.24221737,0,0,1569654
391,VISA SunCoke Limited,CEMS-1,58.00980978,62,658,100,-41.99019022,0,0,5323878
392,VISA SunCoke Limited,CEMS-2,82.43241098,561,159,100,-17.56758902,0,0,1286469
393,VasundharaMetaliksPvt.Ltd.,CEMS-1,44.6,5,715,100,-55.4,0,0,5785065
394,VasundharaMetaliksPvt.Ltd.,CEMS-2,45.95250073,347,373,100,-54.04749927,0,0,3017943
395,Vedanta Ltd.,CEMS-1,74.17685578,651,69,50,24.17685578,24.17685578,141652.198,589329
396,Viraj Steel and Energy Ltd.,CEMS-1,1.094814297,668,52,100,-98.9051857,0,0,420732
397,Viraja Steel & Power Private Limited,CEMS-1,13.12825951,587,133,100,-86.87174049,0,0,1076103
398,Visa Steel Limited,CEMS-1,50.52040217,317,403,100,-49.47959783,0,0,3260673
399,Visa Steel Limited,CEMS-2,83.45625147,351,369,100,-16.54374853,0,0,2985579
400,Visa Steel Limited,CEMS-3,13.52333333,3,717,100,-86.47666667,0,0,5801247
401,Visa Steel Limited,CEMS-4,57.83879745,512,208,100,-42.16120255,0,0,1682928
402,Visa Steel Limited,CEMS-5,10.76754851,210,510,100,-89.23245149,0,0,4126410
403,Vishal Metallics Pvt Ltd,CEMS-1,151.2822645,642,78,100,51.28226449,51.28226449,296308.9242,631098
404,Yazdani Steel and Power Limited,CEMS-1,131.7978459,571,149,100,31.79784591,31.79784591,163409.1301,1205559
405,Yazdani Steel and Power Limited,CEMS-2,15.35132916,571,149,100,-84.64867084,0,0,1205559
