,plant_name,CEMS,meanEmission,withData,noData
0,ACC Limited,CEMS-1,14.696644848342753,671,49
1,ACC Limited,CEMS-2,26.292219806941183,512,208
2,ACC Limited,CEMS-3,8.368519473241893,673,47
3,ACC Limited,CEMS-4,15.450835407455088,611,109
4,Aarti Steels Ltd,CEMS-1,36.6929038961039,567,153
5,Aarti Steels Ltd,CEMS-2,53.854803243501166,567,153
6,Aarti Steels Ltd,CEMS-3,32.94723154362416,305,415
7,Aarti Steels Ltd,CEMS-4,37.7071501532176,282,438
8,Aarti Steels Ltd,CEMS-5,90.38089395267323,295,425
9,Aarti Steels Ltd,CEMS-6,41.39752780153982,296,424
10,Aarti Steels Ltd,CEMS-7,28.98509190737641,566,154
11,Adhunik Metaliks Ltd.,CEMS-8,32.24717948717938,47,673
12,Adhunik Metaliks Ltd.,CEMS-9,33.12032955715736,47,673
13,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-1,47.17309950102776,667,53
14,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-10,46.713101088647484,668,52
15,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-2,49.56439425051364,666,54
16,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-3,42.51612479474574,522,198
17,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-4,47.67327428677999,471,249
18,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-5,1.1309745464772898,663,57
19,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-6,1.496831951986278,667,53
20,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-7,2.2500084116080084,669,51
21,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-8,3.2470931730356307,662,58
22,Aditya Aluminium (A Unit of Hindalco Industries Limited),CEMS-9,44.203352307380534,559,161
23,Aditya Kraft & Papers Pvt. Ltd.,CEMS-1,26.514672923744396,326,394
24,Agrasen Sponge Private Limited,CEMS-1,1.1464468354948238,481,239
25,Agrasen Sponge Private Limited,CEMS-2,8.32315410131455,481,239
26,Aryan Ispat and Power Pvt Ltd,CEMS-1,19.7635283551449,270,450
27,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-2,113.46319106429317,588,132
28,BRG Iron and Steel Co. Pvt. Ltd.,CEMS-3,49.88819250949862,592,128
29,Bhagawati Steels Pvt. Ltd.,CEMS-1,26.476284769500122,542,178
30,Bhaskar Steel and Ferro Alloy Limited,CEMS-1,35.33180497303774,666,54
31,Bhubaneshwar Power Pvt. Ltd.,CEMS-1,33.00716081718171,557,163
32,Bhubaneshwar Power Pvt. Ltd.,CEMS-2,33.56944372574386,558,162
33,Bhushan Energy Limited,CEMS-1,4.896845730027679,399,321
34,Bhushan Energy Limited,CEMS-2,23.946321263482297,588,132
35,Bhushan Energy Limited,CEMS-3,39.99116056338023,588,132
36,Bhushan Power and Steel Limited,CEMS-12,17.62835570314993,667,53
37,Bhushan Power and Steel Limited,CEMS-13,17.628559431524263,667,53
38,Bhushan Power and Steel Limited,CEMS-14,47.289177598385585,496,224
39,Bhushan Power and Steel Limited,CEMS-15,39.21234169035935,497,223
40,Bhushan Power and Steel Limited,CEMS-16,15.251172180255384,497,223
41,Bhushan Power and Steel Limited,CEMS-17,40.951300792864416,503,217
42,Bhushan Power and Steel Limited,CEMS-19,26.641393755466932,667,53
43,Bhushan Power and Steel Limited,CEMS-20,17.628338790757443,667,53
44,Bhushan Power and Steel Limited,CEMS-21,40.77228387984408,528,192
45,Bhushan Power and Steel Limited,CEMS-22,32.27531250000001,6,714
46,Bhushan Power and Steel Limited,CEMS-23,20.857921064708226,670,50
47,Bhushan Power and Steel Limited,CEMS-24,29.763255893674053,670,50
48,Bhushan Power and Steel Limited,CEMS-25,39.21284237726107,497,223
49,Bhushan Power and Steel Limited,CEMS-26,15.251172180255384,497,223
50,Bhushan Power and Steel Limited,CEMS-27,54.00591826563642,502,218
51,Bhushan Power and Steel Limited,CEMS-28,54.00591826563642,502,218
52,Bhushan Power and Steel Limited,CEMS-29,54.00591826563642,502,218
53,Bhushan Power and Steel Limited,CEMS-30,40.94345638432385,498,222
54,Bhushan Power and Steel Limited,CEMS-31,35.638391304348154,497,223
55,Bhushan Power and Steel Limited,CEMS-32,54.00538135593194,502,218
56,Bhushan Power and Steel Limited,CPP130MWU-1,40.951300792864416,503,217
57,Bhushan Power and Steel Limited,CPP130MWU-2,54.00591826563642,502,218
58,Bhushan Power and Steel Limited,CPP40MW,37.5,1,719
59,Bhushan Power and Steel Limited,CPPUNIT-3,30.26903654485057,431,289
60,Bhushan Power and Steel Limited,DRI-5,47.289177598385585,496,224
61,Bhushan Power and Steel Limited,DRI-6,38.861116127414114,500,220
62,Bhushan Power and Steel Limited,DRI-7,39.21234169035935,497,223
63,Bhushan Power and Steel Limited,DRI-8,15.24927343750011,497,223
64,Bhushan Power and Steel Limited,PelletPlant,17.6298297321054,667,53
65,Bhushan Power and Steel Limited,PelletPlant-2,26.641392183914455,667,53
66,Bhushan Power and Steel Limited,WHRB-10,45.84923488905893,527,193
67,Bhushan Power and Steel Limited,WHRB-9,32.27531250000001,6,714
68,Bhushan Steel Limited,CEMS-1,47.91118604230703,589,131
69,Bhushan Steel Limited,CEMS-11,16.826528692379984,590,130
70,Bhushan Steel Limited,CEMS-12,24.225106134371934,570,150
71,Bhushan Steel Limited,CEMS-13,9.53265020874931,587,133
72,Bhushan Steel Limited,CEMS-14,81.027139489194,577,143
73,Bhushan Steel Limited,CEMS-2,19.58035274118169,377,343
74,Bhushan Steel Limited,CEMS-20,47.01641351971396,573,147
75,Bhushan Steel Limited,CEMS-21,39.29139556207591,586,134
76,Bhushan Steel Limited,CEMS-26,93.09967117988404,118,602
77,Bhushan Steel Limited,CEMS-29,169.97495481638146,593,127
78,Bhushan Steel Limited,CEMS-3,124.82303903095516,295,425
79,Bhushan Steel Limited,CEMS-30,7.012703716331488,324,396
80,Bhushan Steel Limited,CEMS-31,13.122046373112184,497,223
81,Bhushan Steel Limited,CEMS-6,2.5499981301421077,586,134
82,Bhushan Steel Limited,CEMS-7,9.798399257195895,588,132
83,Birla Tyres,CEMS-1,11.781922521655424,559,161
84,Birla Tyres,CEMS-2,112.54811787072246,566,154
85,Birla Tyres,CEMS-3,80.46760640841654,564,156
86,Concast Steel and Power Ltd.,CEMS-5,0.15615953835709817,215,505
87,Cracker India Alloys Limited,CEMS-1,35.3684552273701,510,210
88,Emmami Paper Mills Limited,CEMS-1,43.06310804144044,564,156
89,Emmami Paper Mills Limited,CEMS-2,9.417739368316346,560,160
90,Essar Power (Odisha) Ltd.,CEMS-1,36.46484269119071,565,155
91,Essar Power (Odisha) Ltd.,CEMS-2,30.97015738498789,564,156
92,Essar Steel India Limited,CEMS-1,85.37609410574244,544,176
93,FACOR Power Limited,CEMS-1,54.12334711261467,574,146
94,GMR Kamalanga Energy Ltd,CEMS-1,31.14955901505552,593,127
95,GMR Kamalanga Energy Ltd,CEMS-2,34.99539409611429,537,183
96,GMR Kamalanga Energy Ltd,CEMS-3,31.88468444382007,512,208
97,Ganesh Sponge Pvt. Ltd,CEMS-1,38.244137028098734,635,85
98,Goa Carbon Limited,CEMS-1,22.909272306505777,570,150
99,Govindam Projects Pvt Ltd,CEMS-1,75.0899072438164,631,89
100,Grewal Associates Pvt. Ltd.,CEMS-2,61.91919999999998,37,683
101,"HINDALCO Ltd., FRP Plant",CEMS-1,45.52933997885609,592,128
102,"HINDALCO Ltd., FRP Plant",CEMS-2,7.044338919925531,661,59
103,"HINDALCO Ltd., FRP Plant",CEMS-3,7.436331513932787,661,59
104,"HINDALCO Ltd.,Captive Power Plant",CEMS-2,77.4066009723812,691,29
105,"HINDALCO Ltd.,Captive Power Plant",CEMS-3,68.3340427340739,691,29
106,"HINDALCO Ltd.,Captive Power Plant",CEMS-4,67.08766771447678,692,28
107,"HINDALCO Ltd.,Captive Power Plant",CEMS-5,43.4749622299441,692,28
108,"HINDALCO Ltd.,Smelter Plant",CEMS-1,4.149794855609916,650,70
109,"HINDALCO Ltd.,Smelter Plant",CEMS-2,11.721633775477246,649,71
110,"HINDALCO Ltd.,Smelter Plant",CEMS-3,3.835638987998748,661,59
111,"HINDALCO Ltd.,Smelter Plant",CEMS-4,1.3215782627548003,664,56
112,"HINDALCO Ltd.,Smelter Plant",CEMS-5,6.131913707073677,667,53
113,Indian Farmers Fertilizer Coperative Ltd,CEMS-6,76.18605538669374,512,208
114,Indian Metal and Ferro Alloys Ltd,CEMS-5,187.5,4,716
115,Indian Metal and Ferro Alloys Ltd,CEMS-6,31.277073638105637,527,193
116,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),CEMS-1,41.4430735221873,584,136
117,Indian Metal and Ferro Alloys Ltd (120 MW Power Plant),CEMS-2,53.284696556426404,555,165
118,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-1,2.223113254203771,600,120
119,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-2,58.75031512605042,600,120
120,Indian Metal and Ferro Alloys Ltd (Charge Chrome Plant),CEMS-3,51.66311725807967,576,144
121,Indian Oil Corpation Limited,CEMS-1,12.426270906462959,569,151
122,Indian Oil Corpation Limited,CEMS-11,1.2693767004699474,493,227
123,Indian Oil Corpation Limited,CEMS-12,1.0760350654837294,469,251
124,Indian Oil Corpation Limited,CEMS-13,3.1702488335925483,569,151
125,Indian Oil Corpation Limited,CEMS-14,2.0831310818546007,570,150
126,Indian Oil Corpation Limited,CEMS-15,3.590498659517425,416,304
127,Indian Oil Corpation Limited,CEMS-16,0.4206710726995597,565,155
128,Indian Oil Corpation Limited,CEMS-17,10.505892198581506,450,270
129,Indian Oil Corpation Limited,CEMS-18,1.049603773584903,138,582
130,Indian Oil Corpation Limited,CEMS-19,0.9914228033070581,567,153
131,Indian Oil Corpation Limited,CEMS-2,0.6240357741755177,234,486
132,Indian Oil Corpation Limited,CEMS-21,2.2305164954029135,371,349
133,Indian Oil Corpation Limited,CEMS-22,1.5937641071033464,500,220
134,Indian Oil Corpation Limited,CEMS-3,0.27188188629350735,571,149
135,Indian Oil Corpation Limited,CEMS-4,0.20663980042218105,550,170
136,Indian Oil Corpation Limited,CEMS-5,0.4159104078448825,553,167
137,Indian Oil Corpation Limited,CEMS-6,0.9993393904978524,567,153
138,Indian Oil Corpation Limited,CEMS-7,29.84283493013969,472,248
139,Indian Oil Corpation Limited,CEMS-9,35.45887399463805,87,633
140,JK Paper LTD,CEMS-1,33.1334238603295,572,148
141,JK Paper LTD,CEMS-2,30.50364667304283,571,149
142,JK Paper LTD,CEMS-3,27.103818254817984,205,515
143,Jai Balaji Jyoti Steels Limited,CEMS-1,10.053453777335967,499,221
144,Jai Balaji Jyoti Steels Limited,CEMS-2,40.442525125628165,647,73
145,Jay Jagannath Steel and Power Limited,CEMS-1,68.10225669358258,235,485
146,Jay Jagannath Steel and Power Limited,CEMS-2,59.22492624050061,220,500
147,Jindal India Thermal Power Ltd,CEMS-1,37.95697716894979,246,474
148,Jindal India Thermal Power Ltd,CEMS-2,44.65263496143961,517,203
149,Jindal Stainless Ltd,CEMS-1,38.34499358809952,525,195
150,Jindal Stainless Ltd,CEMS-3,41.58282091503226,528,192
151,Jindal Stainless Ltd,CEMS-4,42.93951149425289,528,192
152,Jindal Stainless Ltd,CEMS-5,36.69954924056804,566,154
153,Jindal Stainless Ltd,CEMS-6,10.539024390243924,563,157
154,Jindal Stainless Ltd,CEMS-7,25.493390428211566,558,162
155,Jindal Stainless Ltd,CEMS-8,37.73436062815493,516,204
156,Jindal Steel and Power Limited,CEMS-1,38.87182772700699,589,131
157,Jindal Steel and Power Limited,CEMS-10,8.964332599926673,591,129
158,Jindal Steel and Power Limited,CEMS-12,34.43287780738489,580,140
159,Jindal Steel and Power Limited,CEMS-15,1.3728259430840706,189,531
160,Jindal Steel and Power Limited,CEMS-2,21.481703686739397,443,277
161,Jindal Steel and Power Limited,CEMS-21,17.694732334047107,100,620
162,Jindal Steel and Power Limited,CEMS-22,31.806389618922424,272,448
163,Jindal Steel and Power Limited,CEMS-23,60.77280780487803,544,176
164,Jindal Steel and Power Limited,CEMS-25,35.86391989895709,525,195
165,Jindal Steel and Power Limited,CEMS-26,0.9835008415484251,524,196
166,Jindal Steel and Power Limited,CEMS-27,39.393576479197954,523,197
167,Jindal Steel and Power Limited,CEMS-28,4.069628757050054,513,207
168,Jindal Steel and Power Limited,CEMS-29,1.0,526,194
169,Jindal Steel and Power Limited,CEMS-3,24.63472940708325,588,132
170,Jindal Steel and Power Limited,CEMS-30,17.672181577787587,525,195
171,Jindal Steel and Power Limited,CEMS-33,0.30999999999986527,526,194
172,Jindal Steel and Power Limited,CEMS-34,0.0,517,203
173,Jindal Steel and Power Limited,CEMS-35,22.951327925369252,523,197
174,Jindal Steel and Power Limited,CEMS-36,0.0,524,196
175,Jindal Steel and Power Limited,CEMS-37,0.1249326332071501,526,194
176,Jindal Steel and Power Limited,CEMS-4,53.18876195682069,406,314
177,Jindal Steel and Power Limited,CEMS-5,40.78796815769406,533,187
178,Jindal Steel and Power Limited,CEMS-6,43.05470600632079,582,138
179,Jindal Steel and Power Limited,CEMS-7,40.93434588977532,589,131
180,Jindal Steel and Power Limited,CEMS-8,13.338108308604939,588,132
181,Jindal Steel and Power Ltd,CEMS-1,27.00872208436724,565,155
182,Jindal Steel and Power Ltd,CEMS-2,8.887582007952268,562,158
183,Kamal Jeet Singh Ahluwalia,CEMS-1,39.74219622641541,543,177
184,Kamal Jeet Singh Ahluwalia,CEMS-2,40.41322042467238,542,178
185,Kamal Jeet Singh Ahluwalia,Stack-3,48.25120266323829,512,208
186,Kapilas Cement Manufacturing Works (A unit of OCL India Ltd),CEMS-1,10.625514455782296,526,194
187,Karakola Sponge Iron Ltd.,CEMS-1,65.05818136020154,564,156
188,Karakola Sponge Iron Ltd.,CEMS-2,48.58845938375348,550,170
189,Kaushal Ferrometals Pvt. Ltd.,CEMS-1,21.16706482055241,625,95
190,Khedaria Ispat Ltd.,CEMS-1,36.657334363696656,509,211
191,L N Metallics Ltd,CEMS-1,20.956973745571133,472,248
192,MGM Minerals Limited (Steel Division),CEMS-1,87.66223867892373,588,132
193,MSP Sponge Iron Limited,CEMS-1,16.982240853658542,108,612
194,MSP Sponge Iron Limited,CEMS-2,24.34239837398373,81,639
195,MSP Sponge Iron Limited,CEMS-3,26.259269406392654,109,611
196,Maa Shakumbari Sponge Pvt. Ltd.,CEMS-1,3.6260605216006474,502,218
197,Mahakali Ispat Pvt. Ltd,CEMS-1,0.8547469925529948,262,458
